# English → Bengali loanword map.
#
# Words Bengalis routinely type in Bengali script but which are NOT
# phonetically derivable from Avro rules (or whose phonetic output is
# wrong/ambiguous). Typed in the Avro/Bengali input mode, the English
# spelling on the left resolves directly to the Bengali form on the right,
# jumping ahead of the raw transliteration.
#
# Format: english<TAB>bengali   (one mapping per line; # starts a comment)
# Keep the English key lowercase. First column is matched case-insensitively.

# --- Technology / devices ---
keyboard	কিবোর্ড
ainmontronaloy	আইনমন্ত্রণালয়
ainmote	আইনমতে
ainmoto	আইনমত
ainsocib	আইনসচিব
ainsommoto	আইনসম্মত
ainsommotovabe	আইনসম্মতভাবে
ainsongoto	আইনসঙ্গত
ainsongotovabe	আইনসঙ্গতভাবে
airport	এয়ারপোর্ট
airtel	এয়ারটেল
airway	এয়ারওয়ে
airways	এয়ারওয়েজ
akangkha	আকাঙ্ক্ষা
akangkhar	আকাঙ্ক্ষার
akangkhay	আকাঙ্ক্ষায়
akangkhini	আকাঙ্ক্ষিণী
akangkhito	আকাংক্ষিত
akashmondol	আকাশমন্ডল
akasmondol	আকাশমন্ডল
akbar	আকবর
akkelgurum	আক্কেলগুড়ুম
akram	আকরাম
akramer	আকরামের
aktel	একটেল
alapsalap	আলাপসালাপ
alapsalape	আলাপসালাপে
alarm	অ্যালার্ম
albot	আলবৎ
album	অ্যালবাম
alga	আলগা
algoch	আলগোছ
algoche	আলগোছে
alkatra	আলকাতরা
allahr	আল্লাহর
almari	আলমারি
almarigulo	আলমারিগুলো
almarita	আলমারিটা
almarite	আলমারিতে
almariti	আলমারিটি
alokmala	আলোকমালা
alokmoy	আলোকময়
aloksojja	আলোকসজ্জা
aloksojjay	আলোকসজ্জায়
aloksongket	আলোকসংকেত
alokstombho	আলোকস্তম্ভ
alokstomvo	আলোকস্তম্ভ
alphabet	অ্যালফাবেট
alpin	আলপিন
alpona	আলপনা
alt	অল্ট
amartya	অমর্ত্য
america	আমেরিকা
american	আমেরিকান
amla	আমলা
amlatontriyo	আমলাতন্ত্রীয়
amlatontro	আমলাতন্ত্র
amlok	আমলক
amloki	আমলকী
amra	আমরা
amrai	আমরাই
amrao	আমরাও
amrita	অমৃতা
amrul	আমরুল
ananda	আনন্দ
anandabajar	আনন্দবাজার
anandabazar	আনন্দবাজার
anatomy	অ্যানাটমি
ancan	আনচান
and	অ্যান্ড
andhra	অন্ধ্র
angle	অ্যাঙ্গেল
anirban	অনির্বাণ
aniruddha	অনিরুদ্ধ
ankora	আনকোরা
anmona	আনমনা
anmone	আনমনে
antam	আনতাম
ante	আনতে
antenna	অ্যান্টেনা
antivirus	অ্যান্টিভাইরাস
anuja	অনুজা
anurima	অণুরিমা
anwar	আনোয়ার
apadmostok	আপাদমস্তক
aparna	অপর্ণা
apna	আপনা
apnaapni	আপনাআপনি
apnader	আপনাদের
apnaderke	আপনাদেরকে
apnake	আপনাকে
apnar	আপনার
apni	আপনি
aponkar	আপনকার
apple	অ্যাপেল
application	অ্যাপলাইকশান
apply	অ্যাপ্লাই
april	এপ্রিল
arab	আরব
arabia	আরব
arampriyo	আরামপ্রিয়
archive	আর্কাইভ
arekta	আরেকটা
arekti	আরেকটি
arektu	আরেকটু
argentina	আর্জেন্টিনা
arijit	অরিজিৎ
arindam	অরিন্দম
army	আর্মি
article	আর্টিকেল
artist	আর্টিস্ট
arunima	অরুণিমা
asbenna	আসবেননা
asenni	আসেননি
ashraful	আশরাফুল
asia	এশিয়া
aslam	আসলাম
asle	আসলে
aslen	আসলেন
asli	আসলি
asma	আসমা
asman	আসমান
asmane	আসমানে
asmaner	আসমানের
asmani	আসমানী
asmanta	আসমানটা
asmantar	আসমানটার
assistant	অ্যাসিস্ট্যান্ট
association	অ্যাসোসিয়েশান
astam	আসতাম
asten	আসতেন
asti	আসতি
atm	এটিএম
atta	আটটা
atti	আটটি
audio	অডিও
auditorium	অডিটোরিয়াম
august	অগাস্ট
australia	অস্ট্রেলিয়া
authority	অথরিটি
auto	অটো
automatic	অটোমেটিক
automobile	অটোমোবাইল
autopsy	অটোপ্সি
avast	অ্যাভাস্ট
avenue	অ্যাভেন্যু
avro	অভ্র
avroi	অভ্রই
avroke	অভ্রকে
avroo	অভ্রও
avror	অভ্রর
avrota	অভ্রটা
avrote	অভ্রতে
babohar	ব্যবহার
back	ব্যাক
background	ব্যাকগ্রাউন্ড
backspace	ব্যাকস্পেস
badminton	ব্যাডমিন্টন
bakko	বাক্য
bakri	বাকরি
baksongzom	বাকসংযম
baksongzomi	বাকসংযমী
baksorrboswo	বাকসর্বস্ব
ballot	ব্যালট
ballygunge	বালিগঞ্জ
bamfront	বামফ্রন্ট
bampash	বামপাশ
bampashe	বামপাশে
bampasher	বামপাশের
banasree	বনশ্রী
bandh	বন্‌ধ
banerjee	ব্যানার্জি
bangali	বাঙালি
banjonborrn	ব্যঞ্জনবর্ণ
baseball	বেস্‌বল
basmati	বাসমতী
basmoti	বাসমতী
basu	বসু
basundhara	বসুন্ধরা
bathroom	বাথরুম
bazar	বাজার
beat	বিট
begum	বেগম
belt	বেল্ট
bengal	বেঙ্গল
bengali	বেঙ্গলি
bhalobastam	ভালবাসতাম
bhalobaste	ভালবাসতে
bhalobasten	ভালবাসতেন
bhalobasti	ভালবাসতি
bhalobasto	ভালবাসত
bharat	ভারত
bhattacharya	ভট্টাচার্য
bhavan	ভবন
bhowmik	ভৌমিক
bhutan	ভুটান
bicycle	বাইসাইকেল
bidyut	বিদ্যুৎ
bikkhato	বিখ্যাত
bill	বিল
biochemistry	বায়োকেমিস্ট্রি
biology	বায়োলজি
birla	বিড়লা
birthday	বার্থডে
bismilla	বিসমিল্লা
bismillah	বিসমিল্লাহ
bismillahir	বিসমিল্লাহির
biswas	বিশ্বাস
bit	বিট
blackberry	ব্ল্যাকবেরি
bloc	ব্লক
block	ব্লক
blogger	ব্লগার
blouse	ব্লাউজ
blue	ব্লু
bluetooth	ব্লুটুথ
board	বোর্ড
bodmaish	বদমাইশ
bodmaishi	বদমাইশি
bodmash	বদমাশ
bodmashi	বদমাশি
bodmayeshi	বদমায়েশি
bodmejaj	বদমেজাজ
bodmejaji	বদমেজাজী
bodonkhani	বদনখানি
bodrag	বদরাগ
bodragi	বদরাগী
bodrul	বদরুল
bogra	বগুড়া
bolbe	বলবে
bolben	বলবেন
bolbi	বলবি
bolbo	বলব
bolbona	বলবনা
bolenni	বলেননি
bollam	বললাম
bolle	বললে
bollei	বললেই
bollen	বললেন
bolli	বললি
bollo	বলল
bollywood	বলিউড
bonna	বন্যা
boolean	বুলিয়ান
bornona	বর্ণনা
bosenni	বসেননি
botany	বোটানি
botol	বোতল
brake	ব্রেক
brazil	ব্রাজিল
brb	একটু পরে আসছি
break	ব্রেক
briddhi	বৃদ্ধি
britain	ব্রিটেন
british	ব্রিটিশ
britney	ব্রিটনি
broadband	ব্রডব্যান্ড
brush	ব্রাশ
bsc	বিএসসি
btv	বিটিভি
buddha	বুদ্ধ
buddhadeb	বুদ্ধদেব
building	বিল্ডিং
bulbul	বুলবুল
bulbuli	বুলবুলি
bullet	বুলেট
buzz	বাজ
byarrtho	ব্যর্থ
byay	ব্যয়
byrrth	ব্যর্থ
byrrthta	ব্যর্থতা
byrrthtay	ব্যর্থতায়
byte	বাইট
byy	ব্যয়
cable	কেব্‌ল
cad	চাঁদ
cadni	চাঁদনী
cadre	ক্যাডার
cakladar	চাকলাদার
cakrani	চাকরানী
cakri	চাকরি
cakribakri	চাকরিবাকরি
cakrihin	চাকরিহীন
calculator	ক্যালকুলেটর
calcutta	ক্যালকাটা
calendar	ক্যালেন্ডার
calkata	কলকাতা
calkumra	চালকুমড়া
calkumrar	চালকুমড়ার
calkumro	চালকুমড়ো
calkumror	চালকুমড়োর
canada	কানাডা
cancel	ক্যানসেল
canon	ক্যানন
canvas	ক্যানভাস
capacity	ক্যাপাসিটি
capgeminee	ক্যাপজেমিনি
capisna	চাপিসনা
capisne	চাপিসনে
capital	ক্যাপিটাল
caplam	চাপলাম
caple	চাপলে
caplei	চাপলেই
caplen	চাপলেন
caplo	চাপল
caplo	চাপলো
caps	ক্যাপ্‌স
captam	চাপতাম
capte	চাপতে
capten	চাপতেন
capti	চাপতি
captis	চাপতিস
capture	ক্যাপচার
cargo	কার্গো
carrier	ক্যারিয়ার
carry	ক্যারি
cartoon	কার্টুন
cassette	ক্যাসেট
castro	কাস্ত্রো
catalog	ক্যাটালগ
catalogue	ক্যাটালগ
cd	সিডি
cell	সেল
cent	সেন্ট
century	সেঞ্চুরি
certificate	সার্টিফিকেট
certification	সার্টিফিকেশান
chadu	চাঁদু
chair	চেয়ার
chairman	চেয়ারম্যান
chalk	চক
chamber	চেম্বার
chand	চাঁদ
chandan	চন্দন
chandannagar	চন্দননগর
chandennagore	চন্দননগর
chandra	চন্দ্র
chandradeep	চন্দ্রদীপ
chandu	চাঁদু
channel	চ্যানেল
chara	ছাড়া
character	ক্যারেক্টার
charge	চার্জ
chatterjee	চ্যাটার্জি
checkpost	চেকপোস্ট
chemical	কেমিক্যাল
chemistry	কেমিস্ট্রি
chennai	চেন্নাই
chicken	চিকেন
china	চায়না
chinese	চাইনীজ
chittagong	চট্রগ্রাম
chokkagoj	ছককাগজ
chokkagoje	ছককাগজে
chokkagojer	ছককাগজের
chokkata	ছককাটা
chokkato	ছক কাটো
chokkatun	ছক কাটুন
cikmik	চিকমিক
cikmike	চিকমিকে
cimney	চিমনি
cimni	চিমনি
cintam	চিনতাম
cinte	চিনতে
cinten	চিনতেন
cinti	চিনতি
cinto	চিনত
circle	সার্কেল
circular	সার্কুলার
circus	সার্কাস
citkar	চিৎকার
city	সিটি
citycell	সিটিসেল
civil	সিভিল
clear	ক্লিয়ার
click	ক্লিক
clip	ক্লিপ
clipboard	ক্লিপবোর্ড
close	ক্লোজ
club	ক্লাব
cm	সেমি.
coach	কোচ
coal	কোল
code	কোড
coin	কইয়েন
cokmok	চকমক
cokmoke	চকমকে
cokmoki	চকমকি
colbe	চলবে
colben	চলবেন
colbi	চলবি
colbo	চলব
colenni	চলেননি
collam	চললাম
colle	চললে
collei	চললেই
collen	চললেন
colli	চললি
collo	চলল
colonsoi	চলনসই
comilla	কুমিল্লা
commerce	কমার্স
commercial	কমার্শিয়াল
commission	কমিশন
committee	কমিটি
community	কমিউনিটি
comotkar	চমৎকার
compaq	কমপ্যাক
complain	কমপ্লেইন
computere	কম্পিউটারে
computing	কম্পিউটিং
comri	চমরী
condonkashtho	চন্দনকাষ্ঠ
condonkath	চন্দনকাঠ
condonkathe	চন্দনকাঠে
condonkather	চন্দনকাঠের
condontilok	চন্দনতিলক
conductor	কন্ডাক্টর
conference	কনফারেন্স
configuration	কনফিগারেশন
congress	কংগ্রেস
consortium	কন্সর্টিয়াম
control	কন্ট্রোল
convert	কনভার্ট
converter	কনভার্টার
cookie	কুকি
copy	কপি
copyright	কপিরাইট
correct	কারেক্ট
council	কাউন্সিল
courier	ক্যুরিয়ার
court	কোর্ট
courtship	কোর্টশিপ
coxsbajar	কক্সবাজার
cpi	সিপিআই
cpm	সিপিএম
crack	ক্র্যাক
crest	ক্রেস্ট
cricket	ক্রিকেট
cricketer	ক্রিকেটার
crime	ক্রাইম
criminal	ক্রিমিনাল
cross	ক্রস
crystal	ক্রিস্টাল
css	সিএসএস
cuba	কিউবা
culka	চুলকা
culkai	চুলকাই
culkani	চুলকানী
culkanir	চুলকানীর
culkanite	চুলকানীতে
culkao	চুলকাও
cunkam	চুনকাম
cunkame	চুনকামে
cunkamer	চুনকামের
cupsano	চুপসানো
cupse	চুপসে
current	কারেন্ট
cursor	কার্সর
custom	কাস্টম
dairy	ডেয়ারি
dakhorkora	ডাকহরকরা
dakmasul	ডাকমাসুল
daksaite	ডাকসাইটে
dalkutta	ডালকুত্তা
dalkuttar	ডালকুত্তার
dalpala	ডালপালা
dalpalar	ডালপালার
dalpalay	ডালপালায়
darabe	দাঁড়াবে
darano	দাঁড়ানো
darao	দাঁড়াও
daray	দাঁড়ায়
dariye	দাঁড়িয়ে
darjeeling	দার্জিলিং
dashboard	ড্যাশবোর্ড
dead	ডেড
debbhokti	দেবভক্তি
debbhokto	দেবভক্ত
debit	ডেবিট
debug	ডিবাগ
december	ডিসেম্বর
default	ডিফল্ট
define	ডিফাইন
definite	ডেফিনিট
definitely	ডেফিনেটলি
definition	ডেফিনেশান
defragment	ডিফ্র্যাগমেন্ট
defragmenter	ডিফ্র্যাগমেন্টার
degree	ডিগ্রি
dekhbenna	দেখবেননা
dekhenni	দেখেননি
delete	ডিলিট
delhi	দিল্লি
dell	ডেল
dentist	ডেন্টিস্ট
deshkalpatro	দেশকালপাত্র
design	ডিজাইন
designer	ডিজাইনার
desktop	ডেক্সটপ
detective	ডিটেক্টিভ
developar	ডেভেলপার
developer	ডেভেলপার
development	ডেভেলপমেন্ট
device	ডিভাইস
dhaka	ঢাকা
dhongorobi	ধনগরবী
dhongorrbe	ধনগর্বে
dhongorrbi	ধনগর্বী
dhongorrbito	ধনগর্বিত
dhongorrbo	ধনগর্ব
dhongourob	ধনগৌরব
dhonjon	ধনজন
dhonkub	ধনকুব
dhonkuber	ধনকুবের
dhonman	ধনমান
dhrubojyoti	ধ্রুবজ্যোতি
dhummoy	ধূমময়
dhumnirrgomon	ধুমনির্গমন
dhumnirrgomonnali	ধুমনির্গমননালী
dhumpan	ধূমপান
dhumpane	ধূমপানে
dhumpayi	ধূমপায়ী
dialog	ডায়লগ
dialogue	ডায়লগ
diamond	ডায়মন্ড
diary	ডায়েরি
dictionary	ডিকশনারী
diesel	ডিজেল
digicam	ডিজিক্যাম
digit	ডিজিট
digital	ডিজিটাল
dinesh	দীনেশ
dingoto	দিনগত
dinkal	দিনকাল
dinman	দিনমান
dinmane	দিনমানে
dinmojur	দিনমজুর
dinmojurer	দিনমজুরের
dinmojurera	দিনমজুরেরা
dinmojurra	দিনমজুররা
dinner	দিনার
diplay	ডিসপ্লে
director	ডিরেক্টর
directx	ডিরেক্ট-এক্স
disk	ডিস্ক
dissection	ডিসেকশান
dj	ডিজে
djuice	ডিজ্যুস
document	ডকুমেন্ট
documents	ডকুমেন্টস
dogmog	ডগমগ
dokandar	দোকানদার
dokandari	দোকানদারি
dokla	দোকলা
domain	ডোমেইন
dongle	ডঙ্গেল
doshombar	দশমবার
dosombar	দশমবার
draft	ড্রাফ্‌ট
drawing	ড্রয়িং
dreamweaver	ড্রিমওয়েভার
drive	ড্রাইভ
drug	ড্রাগ
dukkhito	দুঃখিত
dukkho	দুঃখ
dulki	দুলকি
dur	দূর
dure	দূরে
durga	দুর্গা
dutch	ডাচ
dutt	দত্ত
dutta	দত্ত
dvd	ডিভিডি
dx	DX
earth	আর্থ
east	ইস্ট
easy	ইজি
edit	এডিট
edition	এডিশন
editor	এডিটর
eid	ঈদ
einstein	আইন্সটাইন
ekhetre	এক্ষেত্রে
ekhonkar	এখনকার
ekhonkarta	এখনকারটা
ekkale	এককালে
ekkalin	এককালীন
ekkendriyo	এককেন্দ্রীয়
ekkhan	একখান
ekkhana	একখানা
ekkhani	একখানি
ekkotha	এককথা
ekkothar	এককথার
ekkothate	এককথাতে
ekkothatei	এককথাতেই
ekkothay	এককথায়
ekla	একলা
eklai	একলাই
eklao	একলাও
ekmatra	একমাত্রা
ekmatro	একমাত্র
ekmatrrik	একমাতৃক
ekmon	একমন
ekmona	একমনা
ekmone	একমনে
ekmot	একমত
ekmotalombi	একমতালম্বী
ekmote	একমতে
ekmukh	একমুখ
ekmukhe	একমুখে
ekmukhi	একমুখী
ekmukhikoron	একমুখীকরণ
ekmukho	একমুখো
ekrob	একরব
ekrokha	একরোখা
ekrokom	একরকম
ekrokombhabe	একরকমভাবে
ekrokome	একরকমে
ekrokomi	একরকমই
ekrokomvabe	একরকমভাবে
ekrotti	একরত্তি
ekrup	একরূপ
ekrupe	একরূপে
eksathe	একসাথে
eksonge	একসঙ্গে
eksthan	একস্থান
eksthane	একস্থানে
ekta	একটা
ektaka	একটাকা
ektal	একতাল
ektala	একতালা
ektalate	একতালাতে
ektalay	একতালায়
ektana	একটানা
ektane	একটানে
ektanei	একটানেই
ektao	একটাও
ektara	একতারা
ektarate	একতারাতে
ektaray	একতারায়
ekti	একটি
ektil	একতিল
ektio	একটিও
ektola	একতলা
ektolate	একতলাতে
ektolay	একতলায়
ektomo	একতম
ektontri	একতন্ত্রী
ektontro	একতন্ত্র
ektoro	একতর
ektorofa	একতরফা
ektorofavabe	একতরফাভাবে
ektoropha	একতরফা
ektorophavabe	একতরফাভাবে
ektu	একটু
ektuk	একটুক
ektuku	একটুকু
ektuo	একটুও
election	ইলেকশান
electric	ইলেক্ট্রিক
electrical	ইলেক্ট্রিক্যাল
electricity	ইলেক্ট্রিসিটি
electronic	ইলেক্ট্রনিক
electronics	ইলেক্ট্রনিক্স
emirates	এমিরেট্‌স
emni	এমনি
emnibhabe	এমনিভাবে
emnikore	এমনিকরে
emnitoro	এমনিতর
emnivabe	এমনিভাবে
emonki	এমনকি
emonta	এমনটা
emonti	এমনটি
emontoro	এমনতর
empire	এম্পায়ার
encoding	এনকোডিং
end	এন্ড
engineer	ইঞ্জিনিয়ার
engineering	ইঞ্জিনিয়ারিং
england	ইংল্যান্ড
english	ইংলিশ
enrique	এনরিক
enter	এন্টার
entrance	এন্ট্রান্স
entries	এন্ট্রিজ্‌
entry	এন্ট্রি
epsiode	এপিসোড
epson	এপসন
erricson	এরিকসান
etc	ইত্যাদি
etyadi	ইত্যাদি
euro	ইউরো
europe	ইউরোপ
everest	এভারেস্ট
excel	এক্সেল
exchange	এক্সচেঞ্জ
exercise	এক্সারসাইজ
explorer	এক্সপ্লোরার
express	এক্সপ্রেস
extension	এক্সটেন্সান
facebook	ফেসবুক
fantasy	ফ্যান্টাসি
fashion	ফ্যাশান
father	ফাদার
fatna	ফাতনা
fatnar	ফাতনার
fatnay	ফাতনায়
february	ফেব্রুয়ারী
fedora	ফেডোরা
feed	ফীড
felbe	ফেলবে
felben	ফেলবেন
felbi	ফেলবি
felbo	ফেলব
fellam	ফেললাম
felle	ফেললে
fellen	ফেললেন
felleo	ফেললেও
felli	ফেললি
fello	ফেলল
feynman	ফাইনম্যান
fiction	ফিকশান
filter	ফিল্টার
final	ফাইনাল
finance	ফাইনান্স
find	ফাইন্ড
fine	ফাইন
finki	ফিনকি
firefox	ফায়ারফক্স
firenni	ফিরেননি
firewire	ফায়ারওয়ার
fitna	ফিতনা
fixed	ফিক্সড
flash	ফ্ল্যাশ
flickr	ফ্লিক্‌র
floppy	ফ্লপি
flyover	ফ্লাইওভার
footage	ফুটেজ
football	ফুটবল
forensic	ফরেন্সিক
format	ফরম্যাট
forum	ফোরাম
forward	ফরওয়ার্ড
fossil	ফসিল
fossils	ফসিল্‌স
foundation	ফাউন্ডেশন
fountain	ফাউন্টেন
france	ফ্রান্স
freeware	ফ্রীওয়্যার
friend	ফ্রেন্ড
front	ফ্রন্ট
frontpage	ফ্রন্টপেজ
fulbabu	ফুলবাবু
fulbabuder	ফুলবাবুদের
fulbabur	ফুলবাবুর
fulbabura	ফুলবাবুরা
fulbagan	ফুলবাগান
fulbagane	ফুলবাগানে
fulbaganer	ফুলবাগানের
fulkopi	ফুলকপি
fulkopir	ফুলকপির
fund	ফান্ড
fuslano	ফুসলানো
fusle	ফুসলে
fusliye	ফুসলিয়ে
fuzzy	ফাজি
galgolpo	গালগল্প
gallery	গ্যালারি
galmondo	গালমন্দ
gamla	গামলা
gamlagulo	গামলাগুলো
gamlate	গামলাতে
gamlay	গামলায়
gandhi	গান্ধী
ganesh	গণেশ
ganguly	গাঙ্গুলি
gani	জ্ঞানী
gargi	গার্গী
gariahat	গড়িয়াহাট
gatarrthe	জ্ঞাতার্থে
gates	গেট্‌স
gautam	গৌতম
gb	জিবি
generation	জেনারেশন
geography	জিওগ্রাফি
george	জর্জ
german	জার্মান
germany	জার্মানি
ghagra	ঘাগরা
ghapla	ঘাপলা
ghora	ঘোড়া
ghori	ঘড়ি
ghosh	ঘোষ
ghumanni	ঘুমাননি
ghurenni	ঘুরেননি
gilti	গিলটি
girl	গার্ল
gland	গ্ল্যান্ড
global	গ্লোবাল
globalisation	গ্লোবালাইজেশান
gmail	জিমেইল
gobre	গোবরে
gogoncari	গগনচারী
gogoncor	গগনচর
gogoncumbi	গগনচুম্বী
gogonsporrshi	গগনস্পর্শী
golgal	গোলগাল
golmal	গোলমাল
golmele	গোলমেলে
golmoric	গোলমরিচ
golpata	গোলপাতা
golpatar	গোলপাতার
golpatay	গোলপাতায়
gomes	গোমেজ
good	গুড
google	গুগল
government	গভর্নমেন্ট
grasnali	গ্রাসনালী
great	গ্রেট
greece	গ্রীস
greenland	গ্রীনল্যান্ড
guard	গার্ড
gubre	গুবরে
guharoy	গুহরায়
guhathakurata	গুহঠাকুরতা
guide	গাইড
gujrat	গুজরাত
gunda	গুন্ডা
gynaecology	গাইনেকোলজি
hack	হ্যাক
haj	হজ
hall	হল
hamla	হামলা
hamlar	হামলার
hamlay	হামলায়
hanger	হ্যাঙ্গার
haora	হাওড়া
haque	হক
hard	হার্ড
harddisk	হার্ডডিস্ক
hardware	হার্ডওয়্যার
harmonium	হারমোনিয়াম
harry	হ্যারি
hature	হাতুড়ে
head	হেড
health	হেল্‌থ
heart	হার্ট
heatsink	হিটসিঙ্ক
hekmot	হেকমত
hell	হেল
helper	হেল্পার
hertz	হার্জ
history	হিস্ট্রি
