# Romanized Hindi → Hindi spelling map.
#
# How people actually type Hindi in Latin letters, and what they mean by it.
# Two kinds of spelling are here, and neither is reachable from the phonetic
# rules:
#
#  - Words the rules get wrong because Latin spelling does not carry the
#    difference: dental against retroflex ("theek" is ठीक, not थीक), a long
#    vowel nobody doubles ("pani" is पानी), nasalisation nobody writes
#    ("nahi" is नहीं, "hai" / "hain").
#  - Chat shorthand that drops letters wholesale: "h" for है, "nhi" for नहीं,
#    "kr" for कर, "bhut" for बहुत.
#
# This list matters more than its Bengali twin: Hindi ships no bundled word
# list, so until the user downloads one these lines are all the vocabulary the
# Hindi phonetic layout has. It is a hand-written draft of the commonest few
# hundred words and wants a Hindi speaker's review (issue #239).
#
# Format: spelling<TAB>hindi   (one mapping per line; # starts a comment)
# A spelling may repeat to offer several forms, most-preferred first.
# Loaded after en_hi.tsv, so the hand-written loanword spellings win a tie.

# --- to be, to have, auxiliaries ---
abhi	अभी
kabhi	कभी
tabhi	तभी
jabhi	जभी
sirf	सिर्फ़
sirf	सिर्फ
bas	बस
bilkul	बिल्कुल
shayad	शायद
zaroor	ज़रूर
zarur	ज़रूर
jarur	ज़रूर
wala	वाला
wali	वाली
wale	वाले
vala	वाला

# --- everyday verbs ---
kar	कर
kr	कर
karo	करो
kro	करो
karna	करना
krna	करना
karta	करता
krta	करता
karti	करती
karte	करते
krte	करते
kiya	किया
kia	किया
kiye	किए
ki	की
karenge	करेंगे
krenge	करेंगे
karunga	करूँगा
karungi	करूँगी
karega	करेगा
karegi	करेगी
raha	रहा
rha	रहा
rahi	रही
rhi	रही
rahe	रहे
rhe	रहे
rehna	रहना
rahna	रहना
ja	जा
jao	जाओ
jana	जाना
jaana	जाना
jata	जाता
jati	जाती
jate	जाते
gaya	गया
gya	गया
gayi	गई
gai	गई
gyi	गई
gaye	गए
gye	गए
jaunga	जाऊँगा
jaungi	जाऊँगी
jayega	जाएगा
jayenge	जाएंगे
aa	आ
aao	आओ
ao	आओ
aana	आना
ana	आना
aaya	आया
aya	आया
aayi	आई
aaye	आए
aata	आता
aati	आती
aate	आते
aaunga	आऊँगा
de	दे
do	दो
dena	देना
diya	दिया
dia	दिया
di	दी
diye	दिए
deta	देता
deti	देती
dete	देते
le	ले
lo	लो
lena	लेना
liya	लिया
lia	लिया
li	ली
leta	लेता
lete	लेते
bol	बोल
bolo	बोलो
bolna	बोलना
bola	बोला
boli	बोली
bole	बोले
bata	बता
batao	बताओ
btao	बताओ
batana	बताना
bataya	बताया
keh	कह
kaho	कहो
kehna	कहना
kahna	कहना
kaha	कहा
kehta	कहता
kehte	कहते
dekh	देख
dekho	देखो
dekhna	देखना
dekha	देखा
dekhi	देखी
dekhte	देखते
sun	सुन
suno	सुनो
sunna	सुनना
suna	सुना
samajh	समझ
samjh	समझ
samjha	समझा
samjhe	समझे
samajhna	समझना
soch	सोच
socho	सोचो
sochna	सोचना
socha	सोचा
pata	पता
pta	पता
mil	मिल
milo	मिलो
milna	मिलना
mila	मिला
mili	मिली
mile	मिले
milte	मिलते
milenge	मिलेंगे
chal	चल
chalo	चलो
chlo	चलो
chalna	चलना
chala	चला
chale	चले
chalte	चलते
ruk	रुक
ruko	रुको
baith	बैठ
baitho	बैठो
kha	खा
khao	खाओ
khana	खाना
khaya	खाया
pi	पी
piyo	पियो
pina	पीना
peena	पीना
so	सो
sona	सोना
soja	सो जा
uth	उठ
utho	उठो
uthna	उठना
likh	लिख
likho	लिखो
likhna	लिखना
likha	लिखा
padh	पढ़
padho	पढ़ो
padhna	पढ़ना
padha	पढ़ा
padhai	पढ़ाई
khel	खेल
khelna	खेलना
sakta	सकता
skta	सकता
sakti	सकती
sakte	सकते
skte	सकते
chahiye	चाहिए
chaiye	चाहिए
chahie	चाहिए
chahta	चाहता
chahti	चाहती
chahte	चाहते
lagta	लगता
lgta	लगता
lagti	लगती
laga	लगा
lagi	लगी
lage	लगे
ban	बन
bana	बना
banao	बनाओ
banana	बनाना
banaya	बनाया
rakh	रख
rakho	रखो
rakhna	रखना
rakha	रखा
bhej	भेज
bhejo	भेजो
bhejna	भेजना
bheja	भेजा
puch	पूछ
pucho	पूछो
puchna	पूछना
pucha	पूछा
pooch	पूछ
maan	मान
mano	मानो
manna	मानना
jaan	जान
jaante	जानते
janta	जानता
jante	जानते
janti	जानती
maloom	मालूम
malum	मालूम

# --- greetings and small talk ---
namaste	नमस्ते
namaskar	नमस्कार
pranam	प्रणाम
dhanyavad	धन्यवाद
dhanyawad	धन्यवाद
shukriya	शुक्रिया
theek	ठीक
thik	ठीक
thk	ठीक
accha	अच्छा
acha	अच्छा
achha	अच्छा
acchi	अच्छी
achi	अच्छी
achhi	अच्छी
acche	अच्छे
ache	अच्छे
achhe	अच्छे
bura	बुरा
buri	बुरी
sahi	सही
galat	गलत
bahut	बहुत
bhut	बहुत
bohot	बहुत
bohat	बहुत
bahot	बहुत
thoda	थोड़ा
thora	थोड़ा
thodi	थोड़ी
thode	थोड़े
zyada	ज़्यादा
jyada	ज़्यादा
jada	ज़्यादा
kam	कम
kaam	काम
bada	बड़ा
badi	बड़ी
bade	बड़े
chota	छोटा
chhota	छोटा
choti	छोटी
chhoti	छोटी
chote	छोटे
naya	नया
nayi	नई
nai	नई
naye	नए
purana	पुराना
purani	पुरानी
sundar	सुंदर
pyara	प्यारा
pyari	प्यारी
khush	खुश
khushi	खुशी
dukh	दुख
dukhi	दुखी
pareshan	परेशान
maaf	माफ़
maf	माफ़
maafi	माफ़ी
sorry	सॉरी
kripya	कृपया
please	प्लीज़
plz	प्लीज़
pls	प्लीज़
ok	ओके
okay	ओके
thanks	थैंक्स
hello	हेलो
bye	बाय

# --- people ---
bhai	भाई
bhaiya	भैया
behen	बहन
behan	बहन
bahan	बहन
didi	दीदी
maa	माँ
ma	माँ
mummy	मम्मी
papa	पापा
pitaji	पिताजी
beta	बेटा
beti	बेटी
bete	बेटे
baccha	बच्चा
bacha	बच्चा
bacche	बच्चे
bache	बच्चे
bacchi	बच्ची
ladka	लड़का
larka	लड़का
ladki	लड़की
larki	लड़की
ladke	लड़के
ladkiyan	लड़कियाँ
aadmi	आदमी
admi	आदमी
aurat	औरत
log	लोग
logo	लोगों
dost	दोस्त
dosti	दोस्ती
yaar	यार
yar	यार
yr	यार
sir	सर
madam	मैडम
bhagwan	भगवान
insaan	इंसान
insan	इंसान

# --- time ---
aaj	आज
aj	आज
kal	कल
parso	परसों
din	दिन
raat	रात
rat	रात
subah	सुबह
shaam	शाम
sham	शाम
dopahar	दोपहर
dopehar	दोपहर
samay	समय
time	टाइम
waqt	वक़्त
waqt	वक्त
vakt	वक्त
hafta	हफ़्ता
mahina	महीना
mahine	महीने
saal	साल
sal	साल
hamesha	हमेशा
jaldi	जल्दी
jldi	जल्दी
der	देर
turant	तुरंत

# --- things, places, the rest of daily life ---
ghar	घर
kaam	काम
naam	नाम
nam	नाम
baat	बात
bat	बात
baatein	बातें
baten	बातें
paisa	पैसा
paise	पैसे
pese	पैसे
pani	पानी
paani	पानी
khana	खाना
chai	चाय
chay	चाय
roti	रोटी
dudh	दूध
doodh	दूध
dil	दिल
pyar	प्यार
pyaar	प्यार
zindagi	ज़िंदगी
jindagi	ज़िंदगी
zindgi	ज़िंदगी
duniya	दुनिया
desh	देश
bharat	भारत
hindi	हिंदी
hindustan	हिंदुस्तान
dilli	दिल्ली
delhi	दिल्ली
mumbai	मुंबई
shahar	शहर
sheher	शहर
gaon	गाँव
gao	गाँव
rasta	रास्ता
raasta	रास्ता
gaadi	गाड़ी
gadi	गाड़ी
sadak	सड़क
kitab	किताब
kitaab	किताब
sawal	सवाल
jawab	जवाब
javab	जवाब
matlab	मतलब
mtlb	मतलब
wajah	वजह
tarah	तरह
trh	तरह
taraf	तरफ़
cheez	चीज़
chiz	चीज़
chij	चीज़
jagah	जगह
hisab	हिसाब
hisaab	हिसाब
kahani	कहानी
gana	गाना
gaana	गाना
photo	फ़ोटो
sarkar	सरकार
kanoon	कानून
paas	पास
dur	दूर
door	दूर
mushkil	मुश्किल
aasan	आसान
asan	आसान
zaroorat	ज़रूरत
zarurat	ज़रूरत
jarurat	ज़रूरत
zaroori	ज़रूरी
zaruri	ज़रूरी
jaruri	ज़रूरी
madad	मदद
koshish	कोशिश
intezar	इंतज़ार
intzar	इंतज़ार
yaad	याद
yad	याद
vishwas	विश्वास
bharosa	भरोसा
ummeed	उम्मीद
umeed	उम्मीद
umid	उम्मीद
sach	सच
jhooth	झूठ
jhuth	झूठ
jhoot	झूठ
galti	गलती
glti	गलती
dard	दर्द
tabiyat	तबीयत
tabiyat	तबियत
bimar	बीमार
beemar	बीमार
dawai	दवाई
neend	नींद
nind	नींद
bhookh	भूख
bhukh	भूख
garmi	गर्मी
sardi	सर्दी
thand	ठंड
thanda	ठंडा
barish	बारिश
baarish	बारिश
mausam	मौसम

# --- numbers ---
ek	एक
do	दो
teen	तीन
tin	तीन
char	चार
chaar	चार
panch	पाँच
paanch	पाँच
che	छह
chhe	छह
saat	सात
aath	आठ
nau	नौ
das	दस
bees	बीस
sau	सौ
hazar	हज़ार
hajar	हज़ार
lakh	लाख
dono	दोनों
pehla	पहला
pahla	पहला
dusra	दूसरा
doosra	दूसरा
tisra	तीसरा
teesra	तीसरा
